accession	tax_id	organism	superkingdom	phylum	class	order	family	genus	species
A0A098M821	268407	Paenibacillus wynnii		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus wynnii
A0A098M956	268407	Paenibacillus wynnii		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus wynnii
A0A098MAR0	268407	Paenibacillus wynnii		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus wynnii
A0A098MB45	268407	Paenibacillus wynnii		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus wynnii
A0A099I2X1	1522	Clostridium innocuum		Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	[Clostridium] innocuum
A0A0A0I3X8	1444289	Clostridium novyi A str. 4552		Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium novyi
A0A0A0IBC4	1443128	Clostridium botulinum C/D str. DC5		Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium botulinum
A0A0A0WR09	1405	Bacillus mycoides		Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus mycoides
A0A0A0WYP0	1405	Bacillus mycoides		Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus mycoides
A0A0A1M8D9	545501	Oceanobacillus oncorhynchi		Bacillota	Bacilli	Bacillales	Bacillaceae	Oceanobacillus	Oceanobacillus oncorhynchi
A0A0A1MES4	545501	Oceanobacillus oncorhynchi		Bacillota	Bacilli	Bacillales	Bacillaceae	Oceanobacillus	Oceanobacillus oncorhynchi
A0A0A1MTI5	545501	Oceanobacillus oncorhynchi		Bacillota	Bacilli	Bacillales	Bacillaceae	Oceanobacillus	Oceanobacillus oncorhynchi
A0A0A1MUB4	545501	Oceanobacillus oncorhynchi		Bacillota	Bacilli	Bacillales	Bacillaceae	Oceanobacillus	Oceanobacillus oncorhynchi
A0A0A2TDP6	1385514	Pontibacillus yanchengensis Y32		Bacillota	Bacilli	Bacillales	Bacillaceae	Pontibacillus	Pontibacillus yanchengensis
A0A0A2TDT4	1385514	Pontibacillus yanchengensis Y32		Bacillota	Bacilli	Bacillales	Bacillaceae	Pontibacillus	Pontibacillus yanchengensis
A0A0A2UUM9	1385513	Pontibacillus chungwhensis BH030062		Bacillota	Bacilli	Bacillales	Bacillaceae	Pontibacillus	Pontibacillus chungwhensis
A0A0A2UZA7	1385513	Pontibacillus chungwhensis BH030062		Bacillota	Bacilli	Bacillales	Bacillaceae	Pontibacillus	Pontibacillus chungwhensis
A0A0A3HR57	1384057	Ureibacillus sinduriensis BLB-1 = JCM 15800		Bacillota	Bacilli	Bacillales	Caryophanaceae	Ureibacillus	Ureibacillus sinduriensis
A0A0A3HVI6	1384057	Ureibacillus sinduriensis BLB-1 = JCM 15800		Bacillota	Bacilli	Bacillales	Caryophanaceae	Ureibacillus	Ureibacillus sinduriensis
A0A0A3HX96	1384057	Ureibacillus sinduriensis BLB-1 = JCM 15800		Bacillota	Bacilli	Bacillales	Caryophanaceae	Ureibacillus	Ureibacillus sinduriensis
A0A0A3HXB0	1384057	Ureibacillus sinduriensis BLB-1 = JCM 15800		Bacillota	Bacilli	Bacillales	Caryophanaceae	Ureibacillus	Ureibacillus sinduriensis
A0A0A3HZ71	1384049	Ureibacillus manganicus DSM 26584		Bacillota	Bacilli	Bacillales	Caryophanaceae	Ureibacillus	Ureibacillus manganicus
A0A0A3I944	1384049	Ureibacillus manganicus DSM 26584		Bacillota	Bacilli	Bacillales	Caryophanaceae	Ureibacillus	Ureibacillus manganicus
A0A0A3IJ40	1220589	Lysinibacillus odysseyi 34hs-1 = NBRC 100172		Bacillota	Bacilli	Bacillales	Bacillaceae	Lysinibacillus	Lysinibacillus odysseyi
A0A0A3IN50	1220589	Lysinibacillus odysseyi 34hs-1 = NBRC 100172		Bacillota	Bacilli	Bacillales	Bacillaceae	Lysinibacillus	Lysinibacillus odysseyi
A0A0A3IN99	1384057	Ureibacillus sinduriensis BLB-1 = JCM 15800		Bacillota	Bacilli	Bacillales	Caryophanaceae	Ureibacillus	Ureibacillus sinduriensis
A0A0A3IU62	1220589	Lysinibacillus odysseyi 34hs-1 = NBRC 100172		Bacillota	Bacilli	Bacillales	Bacillaceae	Lysinibacillus	Lysinibacillus odysseyi
A0A0A3IVJ0	1384049	Ureibacillus manganicus DSM 26584		Bacillota	Bacilli	Bacillales	Caryophanaceae	Ureibacillus	Ureibacillus manganicus
A0A0A3J1F1	1211035	Ureibacillus massiliensis 4400831 = CIP 108448 = CCUG 49529		Bacillota	Bacilli	Bacillales	Caryophanaceae	Ureibacillus	Ureibacillus massiliensis
A0A0A3JN38	1211035	Ureibacillus massiliensis 4400831 = CIP 108448 = CCUG 49529		Bacillota	Bacilli	Bacillales	Caryophanaceae	Ureibacillus	Ureibacillus massiliensis
A0A0A5G3T8	1385512	Pontibacillus litoralis JSM 072002		Bacillota	Bacilli	Bacillales	Bacillaceae	Pontibacillus	Pontibacillus litoralis
A0A0A5G8T0	1385511	Pontibacillus marinus BH030004 = DSM 16465		Bacillota	Bacilli	Bacillales	Bacillaceae	Pontibacillus	Pontibacillus marinus
A0A0A5G9C4	1385511	Pontibacillus marinus BH030004 = DSM 16465		Bacillota	Bacilli	Bacillales	Bacillaceae	Pontibacillus	Pontibacillus marinus
A0A0A5GAK9	1385512	Pontibacillus litoralis JSM 072002		Bacillota	Bacilli	Bacillales	Bacillaceae	Pontibacillus	Pontibacillus litoralis
A0A0A5GHV1	1385510	Pontibacillus halophilus JSM 076056 = DSM 19796		Bacillota	Bacilli	Bacillales	Bacillaceae	Pontibacillus	Pontibacillus halophilus
A0A0A5GL68	1385510	Pontibacillus halophilus JSM 076056 = DSM 19796		Bacillota	Bacilli	Bacillales	Bacillaceae	Pontibacillus	Pontibacillus halophilus
A0A0A6VFJ9	363870	Heyndrickxia ginsengihumi		Bacillota	Bacilli	Bacillales	Bacillaceae	Heyndrickxia	Heyndrickxia ginsengihumi
A0A0A6VH76	363870	Heyndrickxia ginsengihumi		Bacillota	Bacilli	Bacillales	Bacillaceae	Heyndrickxia	Heyndrickxia ginsengihumi
A0A0A6VHN8	363870	Heyndrickxia ginsengihumi		Bacillota	Bacilli	Bacillales	Bacillaceae	Heyndrickxia	Heyndrickxia ginsengihumi
A0A0A6XXV3	363870	Heyndrickxia ginsengihumi		Bacillota	Bacilli	Bacillales	Bacillaceae	Heyndrickxia	Heyndrickxia ginsengihumi
A0A0A6Y2R2	363870	Heyndrickxia ginsengihumi		Bacillota	Bacilli	Bacillales	Bacillaceae	Heyndrickxia	Heyndrickxia ginsengihumi
A0A0A7FSB4	1415775	Clostridium baratii str. Sullivan		Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium baratii
A0A0A7FWZ6	1415775	Clostridium baratii str. Sullivan		Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium baratii
A0A0A8X2Y3	1321606	Mesobacillus selenatarsenatis (strain DSM 18680 / JCM 14380 / FERM P-15431 / SF-1)		Bacillota	Bacilli	Bacillales	Bacillaceae	Mesobacillus	Mesobacillus selenatarsenatis
A0A0A8X8N9	1321606	Mesobacillus selenatarsenatis (strain DSM 18680 / JCM 14380 / FERM P-15431 / SF-1)		Bacillota	Bacilli	Bacillales	Bacillaceae	Mesobacillus	Mesobacillus selenatarsenatis
A0A0B0INA0	333138	Halalkalibacter okhensis		Bacillota	Bacilli	Bacillales	Bacillaceae	Halalkalibacter	Halalkalibacter okhensis
A0A0B3VU84	1577792	Terrisporobacter othiniensis		Bacillota	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Terrisporobacter	Terrisporobacter othiniensis
A0A0B3W0H3	1577792	Terrisporobacter othiniensis		Bacillota	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Terrisporobacter	Terrisporobacter othiniensis
A0A0B5ANX3	1508404	Jeotgalibacillus malaysiensis		Bacillota	Bacilli	Bacillales	Caryophanaceae	Jeotgalibacillus	Jeotgalibacillus malaysiensis
A0A0B5NK24	1428	Bacillus thuringiensis		Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis
A0A0B5NM88	1428	Bacillus thuringiensis		Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis
A0A0B5QBK2	1520	Clostridium beijerinckii		Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium beijerinckii
A0A0B5QNA2	1520	Clostridium beijerinckii		Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium beijerinckii
A0A0B5QQC1	1520	Clostridium beijerinckii		Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium beijerinckii
A0A0B5S878	1405	Bacillus mycoides		Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus mycoides
A0A0B6A9H0	1348623	Priestia megaterium (strain ATCC 14581 / DSM 32 / CCUG 1817 / JCM 2506 / NBRC 15308 / NCIMB 9376 / NCTC 10342 / NRRL B-14308 / VKM B-512 / Ford 19)		Bacillota	Bacilli	Bacillales	Bacillaceae	Priestia	Priestia megaterium
A0A0B6AI50	1348623	Priestia megaterium (strain ATCC 14581 / DSM 32 / CCUG 1817 / JCM 2506 / NBRC 15308 / NCIMB 9376 / NCTC 10342 / NRRL B-14308 / VKM B-512 / Ford 19)		Bacillota	Bacilli	Bacillales	Bacillaceae	Priestia	Priestia megaterium
A0A0B6AL03	1348623	Priestia megaterium (strain ATCC 14581 / DSM 32 / CCUG 1817 / JCM 2506 / NBRC 15308 / NCIMB 9376 / NCTC 10342 / NRRL B-14308 / VKM B-512 / Ford 19)		Bacillota	Bacilli	Bacillales	Bacillaceae	Priestia	Priestia megaterium
A0A0B6ATF7	1348623	Priestia megaterium (strain ATCC 14581 / DSM 32 / CCUG 1817 / JCM 2506 / NBRC 15308 / NCIMB 9376 / NCTC 10342 / NRRL B-14308 / VKM B-512 / Ford 19)		Bacillota	Bacilli	Bacillales	Bacillaceae	Priestia	Priestia megaterium
A0A0B6BEY0	1428	Bacillus thuringiensis		Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis
A0A0B7MH31	499207	Syntrophaceticus schinkii		Bacillota	Clostridia	Thermoanaerobacterales	Thermoanaerobacterales Family III. Incertae Sedis	Syntrophaceticus	Syntrophaceticus schinkii
A0A0C1R4B7	1418104	Clostridium argentinense CDC 2741		Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium argentinense
A0A0C1R6P1	1418104	Clostridium argentinense CDC 2741		Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium argentinense
A0A0C1U0K1	1418104	Clostridium argentinense CDC 2741		Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium argentinense
A0A0C1U1Q1	1418104	Clostridium argentinense CDC 2741		Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium argentinense
A0A0C2E925	45670	Salinicoccus roseus		Bacillota	Bacilli	Bacillales	Staphylococcaceae	Salinicoccus	Salinicoccus roseus
A0A0C2R4N1	889306	Jeotgalibacillus soli		Bacillota	Bacilli	Bacillales	Caryophanaceae	Jeotgalibacillus	Jeotgalibacillus soli
A0A0C2RL14	220754	Jeotgalibacillus campisalis		Bacillota	Bacilli	Bacillales	Caryophanaceae	Jeotgalibacillus	Jeotgalibacillus campisalis
A0A0C2RLM2	220754	Jeotgalibacillus campisalis		Bacillota	Bacilli	Bacillales	Caryophanaceae	Jeotgalibacillus	Jeotgalibacillus campisalis
A0A0C2RLP2	889306	Jeotgalibacillus soli		Bacillota	Bacilli	Bacillales	Caryophanaceae	Jeotgalibacillus	Jeotgalibacillus soli
A0A0C2RPP6	220754	Jeotgalibacillus campisalis		Bacillota	Bacilli	Bacillales	Caryophanaceae	Jeotgalibacillus	Jeotgalibacillus campisalis
A0A0C2RXL4	135826	Jeotgalibacillus alimentarius		Bacillota	Bacilli	Bacillales	Caryophanaceae	Jeotgalibacillus	Jeotgalibacillus alimentarius
A0A0C2S9I7	889306	Jeotgalibacillus soli		Bacillota	Bacilli	Bacillales	Caryophanaceae	Jeotgalibacillus	Jeotgalibacillus soli
A0A0C2SD50	1491	Clostridium botulinum		Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium botulinum
A0A0C2VP06	889306	Jeotgalibacillus soli		Bacillota	Bacilli	Bacillales	Caryophanaceae	Jeotgalibacillus	Jeotgalibacillus soli
A0A0C2VQG4	220754	Jeotgalibacillus campisalis		Bacillota	Bacilli	Bacillales	Caryophanaceae	Jeotgalibacillus	Jeotgalibacillus campisalis
A0A0C3H6D2	1491	Clostridium botulinum		Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium botulinum
A0A0C5C245	1398	Heyndrickxia coagulans		Bacillota	Bacilli	Bacillales	Bacillaceae	Heyndrickxia	Heyndrickxia coagulans
A0A0C5C582	1398	Heyndrickxia coagulans		Bacillota	Bacilli	Bacillales	Bacillaceae	Heyndrickxia	Heyndrickxia coagulans
A0A0C5C697	1398	Heyndrickxia coagulans		Bacillota	Bacilli	Bacillales	Bacillaceae	Heyndrickxia	Heyndrickxia coagulans
A0A0C7P7Q4	1505	Paraclostridium sordellii		Bacillota	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Paraclostridium	Paraclostridium sordellii
A0A0C7QVY9	1505	Paraclostridium sordellii		Bacillota	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Paraclostridium	Paraclostridium sordellii
A0A0D0FRE7	35841	Caldibacillus thermoamylovorans		Bacillota	Bacilli	Bacillales	Bacillaceae	Caldibacillus	Caldibacillus thermoamylovorans
A0A0D0HPD7	265546	Anoxybacillus ayderensis		Bacillota	Bacilli	Bacillales	Anoxybacillaceae	Anoxybacillus	Anoxybacillus ayderensis
A0A0D0RWT8	404937	Anoxybacillus thermarum		Bacillota	Bacilli	Bacillales	Anoxybacillaceae	Anoxybacillus	Anoxybacillus thermarum
A0A0D1AKY4	1379739	Clostridium botulinum B2 450		Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium botulinum
A0A0D1BSQ3	1379739	Clostridium botulinum B2 450		Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium botulinum
A0A0D1BU69	1379739	Clostridium botulinum B2 450		Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium botulinum
A0A0D1KQX4	1423	Bacillus subtilis		Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis
A0A0D1KW75	1423	Bacillus subtilis		Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis
A0A0D1L7M6	1423	Bacillus subtilis		Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis
A0A0D1UXG6	47500	Aneurinibacillus migulanus		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Aneurinibacillus	Aneurinibacillus migulanus
A0A0D1W152	47500	Aneurinibacillus migulanus		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Aneurinibacillus	Aneurinibacillus migulanus
A0A0D1WHB2	47500	Aneurinibacillus migulanus		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Aneurinibacillus	Aneurinibacillus migulanus
A0A0D1XEB2	47500	Aneurinibacillus migulanus		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Aneurinibacillus	Aneurinibacillus migulanus
A0A0D1XUB8	47500	Aneurinibacillus migulanus		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Aneurinibacillus	Aneurinibacillus migulanus
A0A0D1YF93	47500	Aneurinibacillus migulanus		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Aneurinibacillus	Aneurinibacillus migulanus
A0A0D5NJH8	1126833	Paenibacillus beijingensis		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus beijingensis
A0A0D5NLU5	1126833	Paenibacillus beijingensis		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus beijingensis
A0A0D6ZBU8	285983	Mesobacillus subterraneus		Bacillota	Bacilli	Bacillales	Bacillaceae	Mesobacillus	Mesobacillus subterraneus
A0A0D6ZE60	285983	Mesobacillus subterraneus		Bacillota	Bacilli	Bacillales	Bacillaceae	Mesobacillus	Mesobacillus subterraneus
A0A0D6ZFC6	285983	Mesobacillus subterraneus		Bacillota	Bacilli	Bacillales	Bacillaceae	Mesobacillus	Mesobacillus subterraneus
