accession	superkingdom	phylum	class	order	family	genus	species
JH591187.1		Bacillota	Negativicutes	Veillonellales	Veillonellaceae	Dialister	Dialister succinatiphilus
JPUW01000046.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Lysinibacillus	Lysinibacillus sp. BF-4
LAYY01000011.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Mesobacillus	Mesobacillus campisalis
MAYV01000001.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. FJAT-27986
PISD01000034.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Cytobacillus	Cytobacillus horneckiae
RQYL01000034.1		Synergistota	Synergistia	Synergistales	Aminobacteriaceae	Fretibacterium	Fretibacterium sp. OH1220_COT-178
WBOS01000032.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Cytobacillus	Cytobacillus depressus
ACVI01000129.1		Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium carboxidivorans
AWQQ01000087.1		Bacillota	Clostridia	Eubacteriales	Peptococcaceae	Desulforamulus	Desulforamulus profundi
BAUV01000005.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Halalkalibacter	Halalkalibacter akibai
BMJD01000043.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Lentibacillus	Lentibacillus populi
FOJW01000009.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Lentibacillus	Lentibacillus halodurans
FPBV01000001.1		Bacillota	Bacilli	Bacillales	Alicyclobacillaceae	Alicyclobacillus	Alicyclobacillus macrosporangiidus
MLYQ01000034.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. MUM 13
QWDE01000004.1		Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	Mucilaginibacter terrenus
SMAA01000019.1		Bacillota	Negativicutes	Selenomonadales	Selenomonadaceae	Pectinatus	Pectinatus cerevisiiphilus
WJNH01000010.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Salinibacillus	Salinibacillus xinjiangensis
AWTC01000008.1		Bacillota	Bacilli	Bacillales	Sporolactobacillaceae	Sporolactobacillus	Sporolactobacillus laevolacticus
RKRF01000007.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Aquisalibacillus	Aquisalibacillus elongatus
AWTC01000016.1		Bacillota	Bacilli	Bacillales	Sporolactobacillaceae	Sporolactobacillus	Sporolactobacillus laevolacticus
BAUW01000098.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Mesobacillus	Mesobacillus boroniphilus
BDGJ01000078.1		Bacillota	Clostridia	Neomoorellales	Calderihabitantaceae	Calderihabitans	Calderihabitans maritimus
CP001997.1		Synergistota	Synergistia	Synergistales	Aminobacteriaceae	Aminobacterium	Aminobacterium colombiense
FMIF01000033.1		Bacillota	Tissierellia	Tissierellales	Sporanaerobacteraceae	Sporanaerobacter	Sporanaerobacter sp. PP17-6a
FOKI01000029.1		Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium frigidicarnis
FORT01000006.1		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus centrosporus
JABTTE010000008.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Calidifontibacillus	Calidifontibacillus erzurumensis
JAMBOL010000005.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Halalkalibacter	Halalkalibacter oceani
JMFY01000008.1		Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium sp. HMP27
NTTM01000030.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. AFS018417
NULG01000136.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. AFS041924
PDCJ01000001.1		Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium neonatale
PDOE01000016.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Salipaludibacillus	Salipaludibacillus neizhouensis
QKZI01000006.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Psychrobacillus	Psychrobacillus insolitus
SLUL01000006.1		Bacillota	Bacilli	Bacillales	Anoxybacillaceae	Thermolongibacillus	Thermolongibacillus altinsuensis
LDYG01000001.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus coahuilensis
VORB01000012.1		Bacteroidota	Flavobacteriia	Flavobacteriales	Luteibaculaceae	Luteibaculum	Luteibaculum oceani
APML01000027.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Gracilibacillus	Gracilibacillus halophilus
AVBF01000005.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Pontibacillus	Pontibacillus yanchengensis
BJXX01000015.1		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Aneurinibacillus	Aneurinibacillus danicus
BORO01000001.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Oceanobacillus	Oceanobacillus sp. J11TS1
FNZK01000010.1		Bacillota	Negativicutes	Selenomonadales	Selenomonadaceae	Propionispira	Propionispira arboris
FORT01000005.1		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus centrosporus
JRNX01000593.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Halobacillus	Halobacillus sp. BBL2006
LAYY01000027.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Mesobacillus	Mesobacillus campisalis
NKXN01000069.1		Bacillota	Bacilli	Bacillales	Bacillaceae		Bacillaceae bacterium SAS-127
NULG01000053.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. AFS041924
PISD01000025.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Cytobacillus	Cytobacillus horneckiae
QFGA01000001.1		Bacillota	Clostridia	Eubacteriales	Desulfotomaculaceae	Pelotomaculum	Pelotomaculum schinkii
SMAE01000008.1		Bacillota	Tissierellia	Tissierellales	Tepidimicrobiaceae	Keratinibaculum	Keratinibaculum paraultunense
FP929052.1		Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Ruminococcus	Ruminococcus champanellensis
FUZZ01000001.1		Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae	Chitinophaga	Chitinophaga ginsengisegetis
LSGP01000026.1		Bacillota	Negativicutes		Acetonemataceae	Anaerosporomusa	Anaerosporomusa subterranea
QOCW01000001.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus taeanensis
RZTZ01000003.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Niallia	Niallia taxi
SORI01000020.1		Synergistota	Synergistia	Synergistales	Aminobacteriaceae	Aminivibrio	Aminivibrio pyruvatiphilus
SRIB01000008.1		Bacillota	Tissierellia	Tissierellales	Tissierellaceae	Soehngenia	Soehngenia longivitae
ALPT02000033.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Alkalihalobacillus	Alkalihalobacillus alcalophilus
BAWO01000032.1		Bacillota	Bacilli	Bacillales	Anoxybacillaceae	Saccharococcus	Saccharococcus caldoxylosilyticus
FNIL01000011.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Alkalicoccus	Alkalicoccus daliensis
FUYD01000004.1		Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium sp. USBA 49
FWXH01000019.1		Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium acidisoli
JACOOL010000004.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Ornithinibacillus	Ornithinibacillus hominis
JAGYPL010000006.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. FJAT-49711
JPVO01000047.1		Bacillota	Bacilli	Bacillales	Caryophanaceae	Ureibacillus	Ureibacillus sinduriensis
KZ845663.1		Bacillota	Bacilli	Bacillales	Thermoactinomycetaceae	Thermoflavimicrobium	Thermoflavimicrobium daqui
LAKY01000072.1		Bacillota	Clostridia	Eubacteriales			Clostridiales bacterium PH28_bin88
NOII01000048.1		Bacillota	Bacilli	Bacillales	Fictibacillaceae	Fictibacillus	Fictibacillus aquaticus
NUDY01000006.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus pseudomycoides
PYAW01000003.1		Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae	Chitinophaga	Chitinophaga niastensis
QVTC01000018.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. V59.32b
SRJD01000011.1		Bacillota	Bacilli	Bacillales	Sporolactobacillaceae	Sporolactobacillus	Sporolactobacillus shoreae
AP023366.1		Bacillota	Bacilli	Bacillales	Alicyclobacillaceae	Effusibacillus	Effusibacillus dendaii
HE717023.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Halobacillus	Halobacillus halophilus
JACEIP010000003.1		Bacillota	Bacilli	Bacillales	Thermoactinomycetaceae	Thermoactinomyces	Thermoactinomyces daqus
JACHFH010000012.1		Bacillota	Negativicutes	Selenomonadales	Selenomonadaceae	Pectinatus	Pectinatus brassicae
MLYR01000173.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. MUM 116
ALAN01000033.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Neobacillus	Neobacillus vireti
AMZN01000002.1		Bacteroidota	Cytophagia	Cytophagales	Fulvivirgaceae	Fulvivirga	Fulvivirga imtechensis
APBN01000004.1		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus borstelensis
CM001402.1		Calditrichota	Calditrichia	Calditrichales	Calditrichaceae	Caldithrix	Caldithrix abyssi
CP003261.1		Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium pasteurianum
CP007032.1		Bacillota	Clostridia	Eubacteriales	Desulfitobacteriaceae	Desulfitobacterium	Desulfitobacterium metallireducens
CP017253.2		Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium taeniosporum
JPMD01000005.1		Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium sulfidigenes
JRJU01000027.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Halalkalibacter	Halalkalibacter okhensis
KE150422.1		Bacillota	Bacilli	Bacillales	Caryophanaceae	Paenisporosarcina	Paenisporosarcina sp. HGH0030
KZ845670.1		Bacillota	Bacilli	Bacillales	Thermoactinomycetaceae	Thermoflavimicrobium	Thermoflavimicrobium daqui
LZFO01000035.1		Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium acetireducens
PGUY01000018.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Peribacillus	Peribacillus deserti
SORI01000023.1		Synergistota	Synergistia	Synergistales	Aminobacteriaceae	Aminivibrio	Aminivibrio pyruvatiphilus
WBXO01000009.1		Bacillota	Clostridia	Eubacteriales	Heliobacteriaceae	Heliorestis	Heliorestis acidaminivorans
CP106877.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Fervidibacillus	Fervidibacillus halotolerans
KQ758661.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Priestia	Priestia veravalensis
MZGV01000060.1		Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium oryzae
QYTU02000031.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Siminovitchia	Siminovitchia fortis
ABTR02000001.1		Synergistota	Synergistia	Synergistales	Dethiosulfovibrionaceae	Dethiosulfovibrio	Dethiosulfovibrio peptidovorans
ATAX01000016.1		Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Ruminococcus	Ruminococcus flavefaciens
AVPF01000052.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Pontibacillus	Pontibacillus marinus
CAHT01000077.1		Verrucomicrobiota	Methylacidiphilae	Methylacidiphilales	Methylacidiphilaceae	Methylacidiphilum (ex Ratnadevi et al. 2023)	Candidatus Methylacidiphilum fumarolicum
CP001807.1		Rhodothermota	Rhodothermia	Rhodothermales	Rhodothermaceae	Rhodothermus	Rhodothermus marinus
FNDK01000001.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Alteribacillus	Alteribacillus persepolensis
FXUF01000014.1		Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Anoxynatronum	Anoxynatronum buryatiense
JJMM01000014.1		Bacillota	Clostridia	Peptostreptococcales	Peptoclostridiaceae	Peptoclostridium	Peptoclostridium litorale
PYAV01000008.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Salsuginibacillus	Salsuginibacillus halophilus
QWEH01000003.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Oceanobacillus	Oceanobacillus profundus
VORB01000002.1		Bacteroidota	Flavobacteriia	Flavobacteriales	Luteibaculaceae	Luteibaculum	Luteibaculum oceani
WLZY01000004.1		Actinomycetota	Actinomycetes	Jiangellales	Jiangellaceae	Phytoactinopolyspora	Phytoactinopolyspora mesophila
BMOF01000060.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Calditerricola	Calditerricola satsumensis
FNEN01000001.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Natribacillus	Natribacillus halophilus
FRCZ01000007.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Gracilibacillus	Gracilibacillus kekensis
BJXW01000011.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Cerasibacillus	Cerasibacillus quisquiliarum
BJXX01000190.1		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Aneurinibacillus	Aneurinibacillus danicus
CM001240.1		Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium sp. DL-VIII
FOOK01000007.1		Bacillota	Bacilli	Bacillales	Thermoactinomycetaceae	Planifilum	Planifilum fulgidum
FWXI01000001.1		Bacillota	Negativicutes	Selenomonadales	Sporomusaceae	Sporomusa	Sporomusa malonica
JAAKDE010000031.1		Bacillota				Capillibacterium	Capillibacterium thermochitinicola
JAGYPN010000002.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Lederbergia	Lederbergia citrea
JAPRAT010000004.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Natronobacillus	Natronobacillus azotifigens
JXRP01000006.1		Bacillota	Bacilli	Bacillales	Caryophanaceae	Jeotgalibacillus	Jeotgalibacillus soli
LGKO01000002.1		Chloroflexota	Anaerolineae	Anaerolineales	Anaerolineaceae	Thermanaerothrix	Thermanaerothrix daxensis
LTBB01000020.1		Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium colicanis
NOKQ01000220.1		Bacillota	Bacilli	Bacillales	Caryophanaceae	Tetzosporium	Tetzosporium hominis
NWQM01000004.1		Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae		Lysobacteraceae bacterium NML03-0222
SBII01000001.1		Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium cerinum
SDSC01000004.1		Bacillota	Bacilli	Bacillales	Staphylococcaceae	Macrococcus	Macrococcus sp. DPC7161
SXDP01000005.1		Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium niameyense
WJEE01000011.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Gracilibacillus	Gracilibacillus thailandensis
FTOD01000012.1		Bacillota	Bacilli	Bacillales	Thermoactinomycetaceae	Kroppenstedtia	Kroppenstedtia eburnea
FWWT01000013.1		Bacillota	Clostridia	Eubacteriales	Peptococcaceae	Desulfonispora	Desulfonispora thiosulfatigenes
QVTC01000109.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. V59.32b
WBOS01000013.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Cytobacillus	Cytobacillus depressus
WEIO01000004.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus aerolatus
FWXI01000018.1		Bacillota	Negativicutes	Selenomonadales	Sporomusaceae	Sporomusa	Sporomusa malonica
JOTN01000003.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus manliponensis
PISD01000020.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Cytobacillus	Cytobacillus horneckiae
QWVS01000016.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Peribacillus	Peribacillus asahii
SIJB01000030.1		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Chengkuizengella	Chengkuizengella marina
CYSP01000008.1		Bacillota	Negativicutes	Selenomonadales	Sporomusaceae	Propionispora	Propionispora sp. 2/2-37
FMZA01000006.1		Bacillota	Bacilli	Bacillales	Thermoactinomycetaceae	Melghirimyces	Melghirimyces thermohalophilus
FOBB01000003.1		Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae	Chitinophaga	Chitinophaga rupis
FODY01000034.1		Bacillota	Negativicutes	Selenomonadales	Sporomusaceae	Propionispora	Propionispora vibrioides
JJMM01000002.1		Bacillota	Clostridia	Peptostreptococcales	Peptoclostridiaceae	Peptoclostridium	Peptoclostridium litorale
MAMP01000024.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Domibacillus	Domibacillus iocasae
MRWQ01000010.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Domibacillus	Domibacillus mangrovi
MZGX01000003.1		Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Ruminiclostridium	Ruminiclostridium hungatei
RBIJ01000001.1		Bacillota	Bacilli	Bacillales	Bacillales Family X. Incertae Sedis	Brockia	Brockia lithotrophica
WQLA01000003.1		Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	Mucilaginibacter aquatilis
CP146991.1		Bacillota	Negativicutes	Selenomonadales	Sporomusaceae	Sporomusa	Sporomusa sphaeroides
FOOX01000001.1		Bacillota	Clostridia	Eubacteriales	Desulfallaceae	Desulfotruncus	Desulfotruncus arcticus
FUYD01000008.1		Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium sp. USBA 49
JACHHB010000006.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Texcoconibacillus	Texcoconibacillus texcoconensis
LGSS01000021.1		Bacillota	Tissierellia	Tissierellales	Gottschalkiaceae	Gottschalkia	Gottschalkia purinilytica
BOPZ01000020.1		Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium polyendosporum
CP015971.1		Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae	Arachidicoccus	Arachidicoccus sp. BS20
FNPV01000001.1		Bacillota	Clostridia	Peptostreptococcales	Tindalliaceae	Tindallia	Tindallia californiensis
FZOJ01000013.1		Bacillota	Clostridia	Peptostreptococcales	Natronincolaceae	Anaerovirgula	Anaerovirgula multivorans
WBOT01000010.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus mesophilum
BORO01000009.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Oceanobacillus	Oceanobacillus sp. J11TS1
GL538354.1		Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria grayi
JAFBDQ010000006.1		Bacillota	Clostridia	Halanaerobiales	Halobacteroidaceae	Halanaerobacter	Halanaerobacter jeridensis
KQ758640.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Priestia	Priestia veravalensis
LITT01000009.1		Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium ljungdahlii
FOTY01000010.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Salibacterium	Salibacterium qingdaonense
JACXAH010000012.1		Bacillota	Bacilli	Bacillales	Thermoactinomycetaceae	Polycladospora	Polycladospora coralii
JPVN01000006.1		Bacillota	Bacilli	Bacillales	Caryophanaceae	Ureibacillus	Ureibacillus manganicus
JXRR01000010.1		Bacillota	Bacilli	Bacillales	Caryophanaceae	Jeotgalibacillus	Jeotgalibacillus campisalis
LITT01000046.1		Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium ljungdahlii
QPJT01000001.1		Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Anaerobacterium	Anaerobacterium chartisolvens
RYZZ01000007.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Peribacillus	Peribacillus cavernae
VJMZ01000001.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Lentibacillus	Lentibacillus cibarius
BAVR01000010.1		Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Acetivibrio	Acetivibrio straminisolvens
BKZQ01000001.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Heyndrickxia	Weizmannia acidilactici
BMFR01000033.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Virgibacillus	Virgibacillus oceani
CP060139.1		Bacteroidota	Flavobacteriia	Flavobacteriales	Owenweeksiaceae	Croceimicrobium	Croceimicrobium hydrocarbonivorans
FMDO01000007.1		Bacillota	Clostridia	Eubacteriales		Proteiniborus	Proteiniborus sp. DW1
FMJL01000037.1		Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium sp. N3C
FOGL01000004.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Gracilibacillus	Gracilibacillus ureilyticus
FUZT01000013.1		Bacillota	Clostridia	Peptostreptococcales	Caminicellaceae	Maledivibacter	Maledivibacter halophilus
LMKM01000014.1		Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	Pedobacter sp. Leaf216
VTOY01000001.1		Bacillota	Negativicutes	Selenomonadales	Selenomonadaceae	Selenomonas	Selenomonas ruminis
FPBV01000003.1		Bacillota	Bacilli	Bacillales	Alicyclobacillaceae	Alicyclobacillus	Alicyclobacillus macrosporangiidus
JACXAA010000003.1		Bacteroidota	Cytophagia	Cytophagales	Cytophagaceae	Spirosoma	Spirosoma validum
BJXX01000011.1		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Aneurinibacillus	Aneurinibacillus danicus
BMEV01000050.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Compostibacillus	Compostibacillus humi
BOPZ01000038.1		Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium polyendosporum
BOSI01000003.1		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus sp. J31TS4
CP049742.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Mangrovibacillus	Mangrovibacillus cuniculi
FOKI01000030.1		Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium frigidicarnis
FRCF01000008.1		Bacillota	Bacilli	Bacillales	Salinicoccaceae	Lacicoccus	Lacicoccus alkaliphilus
JABAFC010000006.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Psychrobacillus	Psychrobacillus sp. BL-248-WT-3
JAGYPN010000004.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Lederbergia	Lederbergia citrea
BMOK01000022.1		Bacillota	Bacilli	Bacillales	Sporolactobacillaceae	Sporolactobacillus	Sporolactobacillus putidus
FNHQ01000045.1		Bacillota	Negativicutes	Veillonellales	Veillonellaceae	Megasphaera	Megasphaera paucivorans
FWXV01000016.1		Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Kibdelosporangium	Kibdelosporangium aridum
HF999322.1		Bacillota	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Intestinibacter	Intestinibacter bartlettii
JAAIWN010000031.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus aquiflavi
JACDUT010000007.1		Bacillota	Bacilli	Bacillales	Anoxybacillaceae	Thermaerobacillus	Thermaerobacillus caldiproteolyticus
JNVC02000017.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Metabacillus	Metabacillus indicus
ML122550.1		Bacillota	Bacilli	Bacillales	Caryophanaceae	Rummeliibacillus	Rummeliibacillus sp. TYF005
QKZI01000004.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Psychrobacillus	Psychrobacillus insolitus
QUQV01000013.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. HNG
RZTZ01000007.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Niallia	Niallia taxi
UAWT01000043.1		Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria fleischmannii
VFOW01000001.1		Actinomycetota	Actinomycetes	Glycomycetales	Glycomycetaceae	Stackebrandtia	Stackebrandtia endophytica
AM412317.1		Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium botulinum
JRUN01000005.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Heyndrickxia	Heyndrickxia ginsengihumi
BMNQ01000001.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Lentibacillus	Lentibacillus kapialis
CBXI010000033.1		Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium tyrobutyricum
FXTU01000004.1		Bacillota	Bacilli	Bacillales	Thermoactinomycetaceae	Laceyella	Laceyella tengchongensis
JACEIP010000001.1		Bacillota	Bacilli	Bacillales	Thermoactinomycetaceae	Thermoactinomyces	Thermoactinomyces daqus
KE150483.1		Bacillota	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella sp. HPA0037
LAYY01000003.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Mesobacillus	Mesobacillus campisalis
NOJY02000001.1		Bacillota	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Romboutsia	Romboutsia weinsteinii
JAAGPU010000033.1		Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium senegalense
LTAO01000009.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Alkalihalobacillus	Alkalihalobacillus trypoxylicola
JABAIT010000018.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. DNRA2
JACYHA010000015.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. PS06
JWHR01000064.1		Bacillota	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Terrisporobacter	Terrisporobacter othiniensis
LR700948.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Terribacillus	Terribacillus sp. AE2B 122
VDUW01000002.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Cerasibacillus	Cerasibacillus terrae
AAWL01000007.1		Bacillota	Negativicutes	Selenomonadales	Sporomusaceae	Thermosinus	Thermosinus carboxydivorans
ACJM01000007.1		Bacillota	Dethiobacteria	Dethiobacterales	Dethiobacteraceae	Dethiobacter	Dethiobacter alkaliphilus
BMOY01000049.1		Bacillota	Bacilli	Bacillales	Alicyclobacillaceae	Alicyclobacillus	Alicyclobacillus cellulosilyticus
FOVK01000001.1		Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Proteiniclasticum	Proteiniclasticum ruminis
JAAGPU010000001.1		Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium senegalense
JACRSO010000001.1		Bacillota	Clostridia	Christensenellales	Christensenellaceae	Luoshenia	Luoshenia tenuis
JAKOAV010000016.1		Bacillota	Clostridia	Eubacteriales	Desulfotomaculaceae	Pelotomaculum	Pelotomaculum isophthalicicum
JXII01000002.1		Bacillota	Bacilli	Bacillales	Staphylococcaceae	Salinicoccus	Salinicoccus roseus
PISD01000042.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Cytobacillus	Cytobacillus horneckiae
PVXP01000084.1		Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium luticellarii
QGTD01000004.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Gracilibacillus	Gracilibacillus dipsosauri
RHHQ01000005.1		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus fluminis
SSNT01000005.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Metabacillus	Metabacillus sediminilitoris
